# S,I,R,Nw
356767,6,0,0
356766,6,1,1
356764,6,2,2
356763,7,3,4
356761,7,4,6
356759,8,6,8
356757,8,7,9
356755,9,8,11
356753,9,10,13
356751,10,12,16
356749,10,13,18
356746,11,15,21
356744,12,17,23
356741,12,19,26
356738,13,22,29
356735,14,24,32
356732,15,26,35
356728,16,29,39
356724,16,32,42
356721,17,35,46
356717,18,38,50
356712,19,41,55
356708,21,44,59
356703,22,48,64
356698,23,52,69
356692,24,56,74
356687,26,60,80
356681,27,65,86
356674,29,69,92
356668,31,74,99
356661,32,80,106
356653,34,85,114
356645,36,91,121
356637,38,97,130
356628,40,104,139
356619,43,111,148
356609,45,118,158
356599,48,126,168
356588,50,135,179
356576,53,143,191
