# S,I,R,Nw
405738,1,0,0
405738,1,0,0
405738,1,0,0
405737,1,0,1
405737,1,0,1
405736,1,1,1
405736,2,1,2
405735,2,1,3
405735,2,2,3
405734,2,2,4
405733,3,3,5
405732,3,3,6
405731,3,4,7
405730,4,5,8
405729,4,5,9
405727,5,6,10
405726,5,7,12
405724,6,8,14
405722,7,9,15
405720,8,11,18
405718,8,12,20
405716,9,14,22
405713,10,15,25
405710,12,17,28
405706,13,19,32
405702,14,22,35
405698,16,24,40
405694,18,27,44
405688,20,30,50
405683,22,34,55
405676,24,38,62
405669,27,42,69
405661,30,47,77
405653,33,52,85
405643,37,58,95
405632,41,65,105
405621,46,72,117
405607,51,80,130
405593,56,89,145
405577,62,99,161
405559,69,110,179
405539,77,123,199
405517,85,136,220
405493,94,151,245
405466,104,168,271
405437,116,186,301
