# S,I,R,Nw
457694,1,0,0
457694,1,0,0
457694,1,0,0
457693,1,0,1
457693,1,0,1
457692,1,1,1
457692,2,1,2
457691,2,1,3
457691,2,2,3
457690,2,2,4
457689,2,3,5
457688,3,3,5
457688,3,4,6
457687,3,4,7
457686,4,5,8
457684,4,6,9
457683,5,7,11
457682,5,8,12
457680,6,9,14
457679,6,10,15
457677,7,11,17
457675,8,12,19
457672,8,14,21
457670,9,15,24
457667,10,17,26
457664,11,19,29
457661,12,21,33
457658,14,23,36
457654,15,26,40
457650,17,28,44
457645,18,31,49
457640,20,34,54
457635,22,38,59
457628,24,42,65
457622,26,46,72
457615,29,51,79
457607,32,56,87
457598,35,62,96
457588,38,68,106
457578,42,75,116
457566,46,82,128
457553,51,90,140
457540,56,99,154
457524,61,109,169
457508,67,120,186
457490,73,132,204
457470,80,144,224
457448,88,159,246
457424,97,174,270
457397,106,191,296
457369,116,210,325
457337,127,230,357
457302,140,252,391
457264,153,277,429
457223,168,304,471
