# S,I,R,Nw
429317,3,0,0
429317,3,0,0
429316,3,1,1
429315,3,1,2
429314,4,2,3
429313,4,3,4
429312,4,3,5
429311,5,4,6
429309,5,5,8
429308,6,6,9
429306,6,7,11
429305,7,8,12
429303,7,10,14
429301,8,11,16
429299,9,12,18
429296,9,14,21
429294,10,16,23
429291,11,17,26
429288,12,19,29
429285,13,22,32
429282,14,24,35
429278,15,26,39
429274,16,29,43
429270,18,32,47
429265,19,35,52
429260,21,39,57
429254,23,42,63
429248,25,46,69
429242,27,51,75
429235,29,56,82
429228,31,61,89
429219,34,66,98
429211,37,72,106
429201,40,79,116
429191,43,86,126
429180,47,93,137
429168,50,101,149
429155,55,110,162
429141,59,120,176
429125,64,130,192
429109,69,141,208
429091,75,153,226
429072,81,166,245
429051,88,181,266
429029,95,196,288
429004,103,212,313
428978,111,230,339
428949,120,250,368
428919,130,271,398
428885,141,293,432
428849,152,318,468
