# S,I,R,Nw
696377,4,0,0
696376,4,0,1
696375,5,1,2
696373,5,2,3
696372,6,3,5
696370,6,4,7
696368,7,5,9
696366,8,7,11
696364,9,8,13
696361,10,10,16
696358,11,12,18
696355,12,14,22
696352,13,16,25
696348,14,18,29
696344,16,21,33
696339,18,24,37
696334,19,27,42
696329,21,30,48
696323,24,34,54
696316,26,38,60
696309,29,43,68
696301,31,48,76
696292,35,53,84
696283,38,60,94
696272,42,66,105
696260,46,74,116
696248,51,82,129
696233,56,91,143
696218,62,101,159
696201,68,112,176
696182,75,124,195
696161,82,137,215
696139,91,151,238
696113,100,167,263
696086,110,185,291
696056,121,204,321
696022,133,225,354
695986,146,249,391
695946,161,274,431
695901,177,302,475
695853,194,333,524
695799,214,368,578
695740,235,405,637
695675,259,446,701
695604,285,492,772
695526,313,541,851
695440,344,596,937
695345,379,657,1031
695241,416,723,1135
695127,458,796,1250
695001,503,876,1375
694863,553,964,1514
694711,608,1061,1665
