# S,I,R,Nw
394416,2,0,0
394415,2,0,0
394415,2,0,1
394414,2,1,1
394413,3,1,2
394413,3,2,3
394412,3,3,4
394411,3,3,5
394410,4,4,6
394409,4,5,7
394408,4,5,8
394407,5,6,9
394405,5,7,10
394404,6,8,12
394402,6,9,13
394401,6,10,15
394399,7,11,16
394397,7,13,18
394395,8,14,20
394393,9,16,22
394391,9,17,25
394389,10,19,27
394386,11,21,30
394383,12,23,32
394380,13,25,35
394377,13,27,39
394374,15,29,42
394370,16,32,46
394366,17,35,50
394362,18,38,54
394357,19,41,58
394352,21,44,63
394347,22,48,68
394341,24,52,74
394335,26,56,80
394329,28,61,87
394322,30,66,93
394315,32,71,101
394307,34,76,109
394298,37,82,117
394289,40,89,127
