# S,I,R,Nw
304701,3,0,0
304700,3,0,0
304699,4,1,2
304698,4,2,3
304696,5,2,4
304695,5,3,5
304694,6,4,7
304692,6,5,8
304690,7,7,10
304688,8,8,12
304686,8,9,14
304684,9,11,17
304681,10,12,19
304678,11,14,22
304675,12,16,25
304672,13,18,28
304668,14,21,32
304664,16,23,36
304660,17,26,40
304655,19,29,45
304650,21,33,50
304644,23,36,56
304638,25,40,62
304631,27,45,69
304624,30,50,76
304616,33,55,85
304607,36,61,93
304597,39,67,103
304587,43,74,114
304575,47,82,125
304563,51,90,138
304549,56,99,151
304534,61,109,166
304517,67,119,183
304500,73,131,201
304480,80,144,220
304459,87,158,242
304435,95,173,265
304410,104,190,291
