# S,I,R,Nw
674395,9,0,0
674393,9,1,1
674391,10,3,3
674389,10,4,5
674387,10,6,7
674385,10,8,10
674383,11,10,12
674381,11,12,14
674378,12,14,16
674376,12,16,19
674373,12,18,21
674371,13,20,24
674368,13,22,26
674365,14,25,29
674363,14,27,32
674360,14,29,35
674357,15,32,38
674354,15,35,41
674350,16,37,44
674347,16,40,47
674344,17,43,51
674340,17,46,54
674337,18,49,58
674333,19,52,62
674329,19,55,65
674325,20,59,69
674321,20,62,74
674317,21,66,78
674313,22,69,82
674308,22,73,86
674303,23,77,91
674299,24,81,96
674294,25,85,101
674289,25,89,106
674284,26,94,111
674278,27,98,116
674273,28,103,122
674267,29,108,128
674261,30,113,133
674255,31,118,139
674249,32,123,146
674242,33,128,152
674236,34,134,159
674229,35,140,166
674222,36,146,173
