# S,I,R,Nw
129260,0,0,0
129259,0,0,0
129259,0,0,0
129259,1,0,0
129259,1,0,0
129259,1,0,1
129258,1,1,1
129258,1,1,1
129258,1,1,2
129257,1,1,2
129257,1,1,2
129257,1,2,3
129256,1,2,3
129256,1,2,4
129255,2,3,4
129255,2,3,5
129254,2,3,5
129253,2,4,6
129253,2,4,6
129252,3,5,7
129251,3,5,8
129251,3,6,9
129250,3,7,9
129249,3,7,10
129248,4,8,11
129247,4,9,12
129246,4,9,13
129245,5,10,15
129243,5,11,16
129242,6,12,17
129240,6,13,19
129239,6,14,20
129237,7,15,22
129235,7,17,24
129233,8,18,26
129231,9,20,28
129229,9,21,30
129227,10,23,32
129224,11,25,35
129222,11,26,38
129219,12,29,41
129216,13,31,44
129212,14,33,47
129209,15,36,51
129205,16,38,54
129201,18,41,59
129196,19,44,63
129192,20,48,68
129186,22,51,73
129181,23,55,78
129175,25,59,84
129169,27,64,90
129162,29,68,97
129155,31,73,104
129148,33,79,111
129140,35,85,120
129131,38,91,128
129121,41,97,138
129111,44,104,148
129101,47,112,158
129089,50,120,170
129077,54,129,182
129064,57,138,195
129050,62,148,209
