# S,I,R,Nw
712741,7,0,0
712740,7,1,1
712738,8,2,3
712736,8,3,5
712734,9,5,7
712732,9,6,9
712729,10,8,12
712727,11,10,14
712724,12,12,17
712721,12,14,20
712718,13,16,23
712715,14,19,26
712711,15,21,30
712707,16,24,34
712703,17,27,38
712699,19,30,42
712694,20,33,47
712689,21,37,51
712684,23,40,57
712679,25,44,62
712672,26,49,68
712666,28,53,75
712659,30,58,82
712652,32,64,89
712644,34,69,97
712635,37,75,106
712626,39,82,115
712617,42,89,124
712606,45,96,135
712595,48,104,146
712583,52,112,157
712571,55,121,170
712557,59,131,184
712543,63,141,198
712528,68,152,213
712511,72,164,230
712493,77,177,247
712475,83,190,266
712455,89,204,286
712433,95,220,308
712410,101,236,331
712385,108,254,356
712359,116,272,382
712331,124,293,410
712301,133,314,440
712269,142,337,472
712235,152,361,506
712198,162,388,543
712159,173,416,582
712117,185,446,624
712072,198,478,669
712024,212,512,717
711973,226,548,768
711918,242,587,823
711860,259,629,881
