# S,I,R,Nw
434349,9,0,0
434346,11,1,2
434342,12,3,6
434339,13,5,9
434335,15,8,13
434330,17,11,18
434325,19,14,23
434320,21,17,28
434314,23,21,34
434307,26,25,41
434299,29,29,49
434291,32,35,57
434281,36,40,67
434271,40,47,77
434259,45,54,89
434246,50,62,102
434231,55,71,117
434215,62,81,133
434197,69,92,151
434177,77,104,171
434155,86,117,193
434130,95,132,218
434102,106,149,246
434071,118,168,277
434037,132,189,311
433998,147,212,350
433956,164,238,392
433908,182,267,440
433856,203,299,492
433797,226,335,551
433731,251,375,617
433658,280,419,690
433577,312,468,771
433487,347,523,861
433387,386,585,961
433275,430,653,1073
433151,479,728,1197
433012,533,813,1336
432859,593,906,1489
432687,659,1011,1661
432497,734,1127,1851
