# S,I,R,Nw
652478,2,0,0
652478,2,0,0
652477,2,0,1
652476,2,1,1
652476,3,1,2
652475,3,2,3
652474,3,2,4
652473,4,3,5
652472,4,4,6
652471,4,5,7
652469,5,5,8
652468,5,6,10
652466,6,7,11
652465,6,8,13
652463,7,10,15
652461,7,11,17
652459,8,12,19
652457,9,14,21
652454,10,15,23
652452,11,17,26
652449,12,19,29
652446,13,21,32
652442,14,24,36
652438,15,26,39
652434,16,29,43
652430,18,32,48
652425,19,35,53
652420,21,38,58
652414,23,42,63
652408,25,46,70
652401,27,51,76
652394,30,56,84
652386,32,61,91
652378,35,67,100
652368,38,73,109
652358,42,80,120
652347,45,87,131
652335,49,95,143
652322,54,104,156
652308,59,113,170
652293,64,123,185
652276,69,134,202
652258,75,147,220
652238,82,160,240
