# S,I,R,Nw
288054,1,0,0
288054,1,0,0
288054,1,0,0
288053,1,0,1
288053,1,1,1
288052,1,1,2
288052,2,1,2
288051,2,2,3
288050,2,2,3
288050,2,2,4
288049,3,3,5
288048,3,3,6
288047,3,4,7
288046,4,5,8
288045,4,5,9
288044,4,6,10
288042,5,7,11
288041,5,8,13
288039,6,9,14
288038,7,10,16
288036,7,11,18
288034,8,13,20
288031,9,14,22
288029,10,16,25
288026,11,18,28
288023,12,20,31
288020,13,22,34
288016,14,24,37
288012,16,27,41
288008,17,29,46
288003,19,33,50
287998,21,36,56
287992,23,40,61
287986,25,44,67
287979,27,48,74
287972,30,53,82
287964,33,58,90
287955,36,64,99
287945,39,70,108
287935,43,77,119
287923,47,85,131
287910,51,93,144
287896,56,102,158
287881,62,112,173
287864,68,123,190
287846,74,135,208
287826,81,148,228
287804,89,162,250
287780,97,177,274
287753,107,195,300
287725,117,213,329
287693,128,234,361
