# S,I,R,Nw
822234,7,0,0
822232,7,1,1
822231,8,2,3
822228,9,4,5
822226,9,5,8
822224,10,7,10
822221,11,9,13
822218,12,11,15
822215,13,13,18
822212,14,15,22
822209,15,17,25
822205,16,20,29
822201,17,23,33
822196,18,26,37
822192,20,29,42
822187,21,33,47
822181,23,36,53
822175,25,40,59
822169,27,45,65
822162,29,50,72
822155,31,55,79
822147,33,60,87
822138,36,66,95
822129,39,72,104
822120,42,79,114
822109,45,86,125
822098,49,94,136
822085,52,103,148
822072,56,112,162
822058,61,122,176
822043,65,132,191
822026,70,144,208
822009,76,156,225
821989,82,169,244
821969,88,184,265
821947,95,199,287
821923,102,215,311
821898,110,233,336
821870,118,252,364
821841,127,273,393
821809,137,295,425
821774,148,319,459
821737,159,344,496
821698,171,372,536
821655,184,401,579
821609,198,433,625
821559,213,468,674
821506,230,505,728
821449,247,544,785
821387,266,587,847
821321,286,633,913
821249,308,683,984
821172,332,736,1061
821090,357,794,1144
821001,384,856,1233
