# S,I,R,Nw
158819,5,0,0
158818,5,0,1
158817,5,1,2
158816,5,2,3
158815,6,3,4
158813,6,4,6
158812,6,5,7
158810,7,7,9
158809,7,8,10
158807,7,9,12
158805,8,10,14
158803,8,12,15
158802,9,13,17
158800,9,15,19
158797,10,17,21
158795,10,18,24
158793,11,20,26
158790,11,22,28
158788,12,24,31
158785,12,26,34
158782,13,28,36
158780,13,30,39
158776,14,33,42
158773,15,35,46
158770,16,38,49
158766,16,41,53
158763,17,44,56
158759,18,47,60
158755,19,50,64
158750,20,53,69
158746,21,57,73
158741,22,60,78
158736,23,64,83
158731,24,68,88
158726,26,72,93
158720,27,77,99
158714,28,82,105
158708,29,86,111
158701,31,92,118
158694,32,97,125
158687,34,103,132
158679,36,108,140
158671,38,115,148
158663,39,121,156
158654,41,128,165
158645,43,135,174
158635,46,143,183
158625,48,150,194
158615,50,159,204
158604,53,167,215
158592,55,176,227
158580,58,186,239
158567,61,196,252
158554,64,206,265
158540,67,217,279
