# S,I,R,Nw
446645,3,0,0
446644,3,0,0
446644,3,1,1
446643,3,1,2
446642,4,2,3
446641,4,3,4
446640,4,3,5
446639,4,4,6
446638,4,5,7
446637,5,6,8
446636,5,7,9
446635,5,8,10
446633,6,9,11
446632,6,10,13
446631,6,11,14
446629,6,12,15
446628,7,13,17
446626,7,14,18
446624,7,16,20
446623,8,17,22
446621,8,18,24
446619,9,20,26
446617,9,21,28
446615,10,23,30
446613,10,25,32
446610,11,27,34
446608,11,28,37
446605,12,30,39
446603,12,33,42
446600,13,35,45
446597,13,37,48
446594,14,39,51
446591,15,42,54
446587,16,44,57
446584,16,47,61
446580,17,50,64
446576,18,53,68
446572,19,56,72
446568,20,60,76
446564,21,63,81
446559,22,67,86
446554,23,70,90
446549,24,74,95
446544,25,79,101
446538,26,83,106
446532,28,88,112
446526,29,92,118
446520,30,97,125
446513,32,103,132
446506,33,108,139
446498,35,114,146
446491,37,120,154
446482,39,126,162
