# S,I,R,Nw
695986,5,0,0
695984,6,0,1
695983,6,2,2
695982,6,3,4
695980,7,4,5
695978,7,5,7
695977,8,6,9
695975,8,8,10
695973,8,9,12
695971,9,11,14
695969,9,12,17
695966,10,14,19
695964,11,16,21
695962,11,18,24
695959,12,20,26
695956,13,22,29
695953,13,24,32
695950,14,26,35
695947,15,29,39
695943,16,32,42
695939,17,34,46
695935,18,37,50
695931,19,41,54
695927,20,44,58
695922,21,47,63
695917,22,51,68
695912,24,55,73
695907,25,59,79
695901,26,63,84
695895,28,68,91
695888,29,73,97
695881,31,78,104
695874,33,83,111
695867,35,89,119
695859,37,95,127
695850,39,102,135
695841,41,108,144
695832,43,115,154
695822,46,123,164
695811,49,131,174
695800,51,139,185
695788,54,148,197
695776,57,157,210
695763,61,167,223
695749,64,178,237
695734,68,189,251
695718,71,201,267
695702,76,213,283
695685,80,226,300
695666,84,240,319
695647,89,254,338
695627,94,270,358
695605,99,286,380
