# S,I,R,Nw
357986,2,0,0
357986,2,0,0
357985,2,0,1
357984,3,1,2
357983,3,1,3
357982,3,2,4
357981,4,3,5
357979,4,4,6
357978,5,4,8
357976,6,5,9
357975,6,6,11
357973,7,8,13
357970,8,9,15
357968,9,11,18
357965,10,12,20
357962,11,14,24
357959,13,16,27
357955,14,18,31
357951,16,21,35
357946,18,24,40
357941,20,27,45
357935,22,31,51
357928,25,35,58
357921,28,39,65
357913,31,44,73
357904,34,50,82
357893,38,56,92
357882,43,63,103
357870,48,70,116
357856,53,79,130
357840,59,88,146
357823,66,99,163
357803,74,110,182
357782,82,123,204
357758,92,138,228
357731,102,154,255
357701,114,172,285
357668,127,193,318
357631,142,215,355
357590,158,240,396
