# S,I,R,Nw
275938,9,0,0
275935,10,1,2
275933,10,3,4
275931,11,5,6
275928,12,7,9
275925,12,9,12
275923,13,11,14
275920,13,13,17
275917,14,16,20
275914,15,18,23
275910,15,21,27
275907,16,23,30
275903,17,26,34
275899,18,29,38
275895,19,32,42
275891,20,36,46
275887,21,39,50
275882,22,43,55
275877,23,47,60
275872,24,51,65
275867,25,55,70
275861,26,59,76
275855,28,64,82
275849,29,68,88
275843,30,73,94
275836,32,79,101
275829,33,84,108
275822,35,90,115
275814,37,96,123
275806,38,102,131
275797,40,109,140
275788,42,116,149
275779,44,123,158
275769,46,131,168
275759,49,139,178
275748,51,147,189
275737,53,156,200
275725,56,165,212
275713,59,175,224
275700,62,185,237
275687,64,196,250
275672,68,207,265
275657,71,218,280
275642,74,230,295
275626,78,243,311
275608,82,257,329
