# S,I,R,Nw
1572864,1,0,0
1572864,1,0,0
1572863,1,0,0
1572863,1,0,1
1572863,1,1,1
1572862,1,1,1
1572862,2,1,2
1572861,2,2,3
1572861,2,2,3
1572860,2,2,4
1572859,2,3,4
1572858,3,3,5
1572858,3,4,6
1572857,3,5,7
1572856,3,5,8
1572855,4,6,9
1572854,4,7,10
1572853,5,7,11
1572851,5,8,12
1572850,5,9,14
1572848,6,10,15
1572847,6,11,17
1572845,7,12,19
1572843,7,14,20
1572841,8,15,22
1572839,9,17,25
1572837,10,18,27
1572834,10,20,30
1572831,11,22,32
1572828,12,24,35
1572825,13,26,39
1572822,14,29,42
1572818,16,31,46
1572814,17,34,50
1572809,18,37,54
1572805,20,40,59
1572799,21,44,64
1572794,23,47,70
1572788,25,52,76
1572781,27,56,82
1572774,29,61,89
1572767,32,66,97
1572759,34,72,105
1572750,37,78,114
1572740,40,84,124
1572730,44,91,134
1572719,47,99,145
1572707,51,107,157
1572693,55,116,170
1572679,60,126,184
1572664,64,136,200
1572648,70,147,216
1572630,75,159,234
